%Data filename = Scores_age_AC_500-c1-c3
%Multiplication factor for 99.99% Chi2 CL = 3.97845
%Multiplication factor for  99.9% Chi2 CL = 3.26556
%Multiplication factor for   99% Chi2 CL = 2.51128
%Multiplication factor for   95% Chi2 CL = 1.93841
%Multiplication factor for   90% Chi2 CL = 1.67020
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.0118750       24.0032845        6.9644200       11.6319445       13.4999281       17.4896064       22.7427325       27.7076218
      0.0125000       30.6457163        6.9139077       11.5475791       13.4020143       17.3627558       22.5777814       27.5066608
      0.0131250       29.0586453        6.8615459       11.4601246       13.3005154       17.2312606       22.4067908       27.2983418
      0.0137499       21.7675263        6.8074488       11.3697719       13.1956529       17.0954077       22.2301335       27.0831191
      0.0143749       13.5020813        6.7517311       11.2767123       13.0876489       16.9554849       22.0481838       26.8614486
      0.0149999        8.2316206        6.6945072       11.1811372       12.9767252       16.8117796       21.8613157       26.6337859
      0.0156249        8.0893664        6.6358910       11.0832367       12.8631028       16.6645780       21.6699011       26.4005842
      0.0162499        9.9577051        6.5759953       10.9831993       12.7470003       16.5141633       21.4743083       26.1622922
      0.0168749        9.3027547        6.5149316       10.8812108       12.6286334       16.3608151       21.2749008       25.9193527
      0.0174999        6.8602088        6.4528090       10.7774539       12.5082141       16.2048079       21.0720358       25.6722009
      0.0181249        5.7235918        6.3897347       10.6721075       12.3859501       16.0464107       20.8660629       25.4212628
      0.0187499        5.9405618        6.3258131       10.5653460       12.2620436       15.8858858       20.6573232       25.1669539
      0.0193749        6.0068691        6.2611458       10.4573390       12.1366917       15.7234882       20.4461482       24.9096780
      0.0199999        5.9515647        6.1958311       10.3482507       12.0100848       15.5594647       20.2328592       24.6498265
      0.0206249        6.6014821        6.1299640       10.2382396       11.8824070       15.3940538       20.0177660       24.3877771
      0.0212499        7.4393428        6.0636357       10.1274584       11.7538353       15.2274850       19.8011671       24.1238932
      0.0218749        6.9207213        5.9969339       10.0160534       11.6245396       15.0599781       19.5833483       23.8585232
      0.0224999        4.9208902        5.9299423        9.9041643       11.4946822       14.8917436       19.3645833       23.5920003
      0.0231249        3.1278594        5.8627408        9.7919245       11.3644177       14.7229816       19.1451325       23.3246419
      0.0237499        2.6933673        5.7954049        9.6794605       11.2338931       14.5538825       18.9252434       23.0567495
      0.0243749        3.2633290        5.7280066        9.5668922       11.1032473       14.3846266       18.7051502       22.7886085
      0.0249999        4.0795492        5.6606135        9.4543325       10.9726116       14.2153837       18.4850740       22.5204882
      0.0256249        4.4150424        5.5932893        9.3418879       10.8421094       14.0463138       18.2652227       22.2526420
      0.0262499        3.7335918        5.5260937        9.2296581       10.7118565       13.8775668       18.0457914       21.9853074
      0.0268749        2.5289711        5.4590825        9.1177362       10.5819610       13.7092828       17.8269622       21.7187063
      0.0274999        2.0470551        5.3923076        9.0062090       10.4525236       13.5415923       17.6089047       21.4530454
      0.0281249        2.7570392        5.3258172        8.8951571       10.3236377       13.3746164       17.3917764       21.1885165
      0.0287499        3.9051315        5.2596560        8.7846549       10.1953898       13.2084670       17.1757228       20.9252970
      0.0293749        4.5842942        5.1938649        8.6747709       10.0678595       13.0432472       16.9608781       20.6635503
      0.0299999        4.4783910        5.1284817        8.5655681        9.9411198       12.8790517       16.7473653       20.4034262
      0.0306249        3.7056328        5.0635407        8.4571041        9.8152374       12.7159668       16.5352968       20.1450617
      0.0312499        2.6949855        4.9990734        8.3494310        9.6902730       12.5540713       16.3247748       19.8885814
      0.0318749        1.9953374        4.9351080        8.2425963        9.5662816       12.3934364       16.1158920       19.6340981
      0.0324999        1.8200628        4.8716701        8.1366426        9.4433127       12.2341261       15.9087318       19.3817135
      0.0331249        1.9880502        4.8087826        8.0316081        9.3214107       12.0761979       15.7033688       19.1315183
      0.0337499        2.3014148        4.7464658        7.9275268        9.2006149       11.9197030       15.4998694       18.8835938
      0.0343749        2.6734270        4.6847376        7.8244288        9.0809602       11.7646864       15.2982925       18.6380113
      0.0349999        2.7881904        4.6236140        7.7223403        8.9624773       11.6111877       15.0986895       18.3948335
      0.0356249        2.2506072        4.5631084        7.6212842        8.8451925       11.4592414       14.9011050       18.1541150
      0.0362499        1.3771113        4.5032328        7.5212801        8.7291287       11.3088768       14.7055774       17.9159025
      0.0368749        1.0026211        4.4439969        7.4223446        8.6143051       11.1601191       14.5121392       17.6802354
      0.0374999        1.3688825        4.3854092        7.3244917        8.5007378       11.0129889       14.3208174       17.4471469
      0.0381249        2.0521973        4.3274763        7.2277324        8.3884399       10.8675032       14.1316341       17.2166635
      0.0387499        2.8200165        4.2702036        7.1320757        8.2774217       10.7236754       13.9446066       16.9888067
      0.0393749        3.6695360        4.2135950        7.0375284        8.1676909       10.5815155       13.7597480       16.7635923
      0.0399999        4.2684823        4.1576535        6.9440952        8.0592531       10.4410308       13.5770677       16.5410316
      0.0406248        4.2908242        4.1023808        6.8517789        7.9521117       10.3022255       13.3965713       16.3211317
      0.0412498        4.1416354        4.0477777        6.7605810        7.8462683       10.1651018       13.2182615       16.1038957
      0.0418748        4.4236022        3.9938440        6.6705012        7.7417225       10.0296593       13.0421378       15.8893230
      0.0424998        4.8600329        3.9405789        6.5815380        7.6384727        9.8958957       12.8681974       15.6774103
      0.0431248        4.6495485        3.8879807        6.4936888        7.5365156        9.7638070       12.6964349       15.4681509
      0.0437498        3.6104293        3.8360473        6.4069498        7.4358471        9.6333875       12.5268431       15.2615360
      0.0443748        2.3365147        3.7847757        6.3213162        7.3364616        9.5046303       12.3594128       15.0575546
      0.0449998        1.4647667        3.7341628        6.2367827        7.2383528        9.3775271       12.1941332       14.8561933
      0.0456248        1.1460569        3.6842047        6.1533430        7.1415134        9.2520684       12.0309922       14.6574376
      0.0462498        1.2231009        3.6348975        6.0709903        7.0459356        9.1282442       11.8699764       14.4612710
      0.0468748        1.4838540        3.5862367        5.9897172        6.9516108        9.0060433       11.7110716       14.2676762
      0.0474998        1.6931932        3.5382176        5.9095159        6.8585300        8.8854540       11.5542625       14.0766346
      0.0481248        1.8997075        3.4908355        5.8303784        6.7666837        8.7664641       11.3995331       13.8881268
      0.0487498        2.4040656        3.4440851        5.7522962        6.6760622        8.6490609       11.2468671       13.7021328
      0.0493748        3.0269488        3.3979614        5.6752607        6.5866555        8.5332315       11.0962475       13.5186319
      0.0499998        3.0725919        3.3524592        5.5992630        6.4984532        8.4189625       10.9476570       13.3376032
      0.0506248        2.3721163        3.3075730        5.5242942        6.4114451        8.3062407       10.8010784       13.1590254
      0.0512498        1.5943425        3.2632974        5.4503454        6.3256208        8.1950524       10.6564940       12.9828773
      0.0518748        1.1951292        3.2196272        5.3774076        6.2409699        8.0853843       10.5138862       12.8091373
      0.0524998        0.9565170        3.1765569        5.3054718        6.1574819        7.9772228       10.3732377       12.6377843
      0.0531248        0.7454218        3.1340813        5.2345292        6.0751465        7.8705546       10.2345309       12.4687969
      0.0537498        0.8395397        3.0921950        5.1645709        5.9939536        7.7653665       10.0977488       12.3021544
      0.0543748        1.4427058        3.0508930        5.0955884        5.9138931        7.6616454        9.9628744       12.1378360
      0.0549998        2.4885981        3.0101700        5.0275731        5.8349552        7.5593787        9.8298912       11.9758216
      0.0556248        3.9536669        2.9700212        4.9605166        5.7571301        7.4585537        9.6987827       11.8160913
      0.0562498        5.5736394        2.9304416        4.8944110        5.6804085        7.3591584        9.5695333       11.6586259
      0.0568748        6.3490669        2.8914266        4.8292483        5.6047812        7.2611807        9.4421273       11.5034064
      0.0574998        5.7059640        2.8529715        4.7650207        5.5302393        7.1646092        9.3165499       11.3504145
      0.0581248        4.5289763        2.8150718        4.7017210        5.4567742        7.0694327        9.1927864       11.1996327
      0.0587498        3.7673529        2.7777234        4.6393418        5.3843775        6.9756403        9.0708229       11.0510437
      0.0593748        3.2408520        2.7409220        4.5778762        5.3130411        6.8832217        8.9506457       10.9046310
      0.0599998        2.4944013        2.7046637        4.5173177        5.2427574        6.7921668        8.8322418       10.7603788
      0.0606248        1.6746187        2.6689445        4.4576597        5.1735189        6.7024661        8.7155988       10.6182718
      0.0612498        1.1444869        2.6337609        4.3988962        5.1053185        6.6141101        8.6007046       10.4782954
      0.0618748        0.8895080        2.5991093        4.3410212        5.0381494        6.5270902        8.4875476       10.3404356
      0.0624998        0.6983326        2.5649863        4.2840291        4.9720049        6.4413979        8.3761170       10.2046789
      0.0631248        0.5430284        2.5313887        4.2279146        4.9068789        6.3570251        8.2664022       10.0710126
      0.0637498        0.5158368        2.4983135        4.1726726        4.8427655        6.2739640        8.1583931        9.9394244
      0.0643748        0.6301069        2.4657578        4.1182981        4.7796589        6.1922073        8.0520802        9.8099028
      0.0649998        0.7728649        2.4337186        4.0647864        4.7175538        6.1117480        7.9474544        9.6824364
      0.0656248        0.7910297        2.4021934        4.0121331        4.6564448        6.0325793        7.8445069        9.5570148
      0.0662498        0.6638105        2.3711795        3.9603339        4.5963272        5.9546949        7.7432294        9.4336277
      0.0668747        0.5277201        2.3406746        3.9093848        4.5371961        5.8780886        7.6436138        9.3122654
      0.0674997        0.5013446        2.3106763        3.8592817        4.4790469        5.8027544        7.5456525        9.1929185
      0.0681247        0.6577016        2.2811823        3.8100209        4.4218753        5.7286867        7.4493380        9.0755779
      0.0687497        1.0313183        2.2521904        3.7615988        4.3656770        5.6558800        7.3546633        8.9602350
      0.0693747        1.4328470        2.2236985        3.7140117        4.3104479        5.5843288        7.2616212        8.8468813
      0.0699997        1.5288059        2.1957045        3.6672562        4.2561840        5.5140280        7.1702051        8.7355084
      0.0706247        1.2428005        2.1682063        3.6213289        4.2028811        5.4449724        7.0804081        8.6261082
      0.0712497        0.8752859        2.1412020        3.5762264        4.1505355        5.3771569        6.9922238        8.5186726
      0.0718747        0.7389646        2.1146894        3.5319452        4.0991432        5.3105765        6.9056454        8.4131936
      0.0724997        0.7842510        2.0886666        3.4884820        4.0487002        5.2452259        6.8206663        8.3096630
      0.0731247        0.7907948        2.0631315        3.4458334        3.9992026        5.1811001        6.7372799        8.2080728
      0.0737497        0.7452191        2.0380820        3.4039958        3.9506463        5.1181938        6.6554793        8.1084146
      0.0743747        0.7712820        2.0135160        3.3629658        3.9030272        5.0565017        6.5752575        8.0106798
      0.0749997        0.9464613        1.9894312        3.3227395        3.8563410        4.9960181        6.4966073        7.9148597
      0.0756247        1.2439378        1.9658254        3.2833132        3.8105832        4.9367374        6.4195212        7.8209453
      0.0762497        1.5786741        1.9426963        3.2446830        3.7657493        4.8786536        6.3439915        7.7289269
