depth	min	max	median	mean
25	1759.4	1880.2	1834.3	1829.5
25.1	1758.2	1879.6	1833.4	1828.6
25.2	1757.3	1878.9	1832.7	1827.7
25.3	1756.1	1878.3	1831.8	1826.9
25.4	1755.2	1877.8	1831.1	1826
25.5	1754.3	1876.9	1830.3	1825.2
25.6	1753.4	1876.3	1829.3	1824.3
25.7	1752.4	1875.7	1828.5	1823.5
25.8	1751	1875	1827.8	1822.6
25.9	1749.9	1874.4	1827.1	1821.8
26	1748.3	1873.5	1826.2	1820.9
26.1	1747	1872.8	1825.4	1820.1
26.2	1745.4	1872.4	1824.4	1819.2
26.3	1744.6	1871.5	1823.5	1818.3
26.4	1743.9	1870.6	1822.6	1817.5
26.5	1742.6	1869.5	1821.8	1816.6
26.6	1741.3	1868.7	1821	1815.7
26.7	1740.2	1867.8	1820.1	1814.8
26.8	1739.3	1867.2	1819.3	1814
26.9	1738.1	1866.2	1818.5	1813.1
27	1736.7	1865.7	1817.8	1812.2
27.1	1735.8	1865.2	1816.9	1811.3
27.2	1734.4	1864.4	1816	1810.5
27.3	1733	1863.7	1815.2	1809.6
27.4	1731.9	1862.9	1814.3	1808.7
27.5	1730.9	1862	1813.5	1807.8
27.6	1729.5	1861.3	1812.6	1806.9
27.7	1728.8	1860.5	1811.6	1806.1
27.8	1728	1859.8	1810.8	1805.2
27.9	1726.6	1859.1	1809.9	1804.3
28	1725.3	1858.4	1809.1	1803.4
28.1	1723.8	1857.7	1808.3	1802.6
28.2	1722.5	1856.9	1807.5	1801.7
28.3	1721.4	1856.2	1806.8	1800.8
28.4	1720.5	1855.5	1806.1	1799.9
28.5	1719.8	1855	1805.1	1799.1
28.6	1719.1	1854.6	1804.3	1798.2
28.7	1718.2	1853.9	1803.5	1797.3
28.8	1717	1853.2	1802.9	1796.5
28.9	1715.9	1852.5	1802.1	1795.6
29	1715	1851.8	1801.2	1794.7
29.1	1713.3	1851	1800.6	1793.8
29.2	1711.9	1850.4	1799.8	1793
29.3	1711.1	1849.3	1799	1792.1
29.4	1710.2	1848.3	1798.1	1791.2
29.5	1709	1847.3	1797.2	1790.4
29.6	1708.1	1846.6	1796.3	1789.5
29.7	1707.1	1845.9	1795.6	1788.6
29.8	1705.8	1845.3	1794.6	1787.8
29.9	1704.8	1844.5	1793.7	1786.9
30	1702.8	1843.5	1792.8	1786
30.1	1701.4	1842.9	1792.1	1785.2
30.2	1700.5	1842.2	1791.3	1784.3
30.3	1699.3	1841.4	1790.6	1783.4
30.4	1698.2	1840.9	1789.8	1782.6
30.5	1697	1840.3	1789.1	1781.7
30.6	1695.5	1839.4	1788.3	1780.8
30.7	1694.2	1838.6	1787.6	1780
30.8	1693.5	1838.1	1786.9	1779.1
30.9	1692.4	1837.5	1786.1	1778.2
31	1690.9	1836.9	1785.3	1777.4
31.1	1689.5	1836.2	1784.4	1776.5
31.2	1688.7	1835.7	1783.5	1775.6
31.3	1687.6	1834.7	1782.8	1774.7
31.4	1686.6	1833.8	1781.9	1773.9
31.5	1685.7	1833.2	1781.1	1773
31.6	1684	1832.3	1780.2	1772.1
31.7	1683.3	1831.9	1779.4	1771.2
31.8	1681.4	1831.1	1778.5	1770.3
31.9	1680.1	1830.2	1777.5	1769.4
32	1679.1	1829.4	1776.7	1768.6
32.1	1677.9	1828.7	1776	1767.7
32.2	1677.1	1827.7	1775.2	1766.8
32.3	1676.5	1826.8	1774.6	1765.9
32.4	1675.3	1826	1773.7	1765
32.5	1674.4	1825	1773.1	1764.2
32.6	1673	1824.4	1772.2	1763.3
32.7	1671.7	1823.8	1771.4	1762.4
32.8	1670.3	1823	1770.5	1761.6
32.9	1669.4	1822.3	1769.7	1760.7
33	1667.8	1821.4	1768.9	1759.8
33.1	1666.5	1820.6	1768.1	1759
33.2	1665.4	1820.2	1767.5	1758.1
33.3	1664.9	1819.4	1766.7	1757.2
33.4	1664.3	1818.7	1765.9	1756.4
33.5	1663.1	1818.1	1765.3	1755.5
33.6	1662	1817.3	1764.6	1754.7
33.7	1661.1	1816.3	1763.8	1753.8
33.8	1660.7	1815.6	1762.8	1753
33.9	1660.1	1814.9	1762	1752.1
34	1659.1	1814.3	1761	1751.2
34.1	1658.2	1813.5	1760.3	1750.4
34.2	1657.5	1812.6	1759.5	1749.5
34.3	1656.7	1811.6	1758.7	1748.7
34.4	1655.7	1810.7	1757.9	1747.8
34.5	1654.6	1810	1756.9	1746.9
34.6	1653.6	1808.8	1756.3	1746.1
34.7	1652.8	1807.7	1755.5	1745.2
34.8	1651.6	1807	1754.7	1744.3
34.9	1650.4	1806.1	1753.9	1743.5
35	1649.5	1805.7	1753.2	1742.6
35.1	1648.3	1804.8	1752.4	1741.7
35.2	1647.4	1804	1751.6	1740.9
35.3	1646.6	1803.6	1750.8	1740.1
35.4	1645.4	1802.7	1750.1	1739.2
35.5	1644.6	1801.5	1749.4	1738.4
35.6	1643.2	1800.5	1748.5	1737.5
35.7	1641.6	1799.6	1747.9	1736.7
35.8	1641.2	1798.8	1747.2	1735.9
35.9	1639.7	1798.2	1746.5	1735
36	1638.8	1797.5	1745.7	1734.2
36.1	1637.4	1796.6	1744.9	1733.4
36.2	1635.9	1796	1744.1	1732.5
36.3	1634.9	1795.1	1743.3	1731.7
36.4	1633.8	1794.3	1742.7	1730.8
36.5	1632.8	1793.6	1742	1729.9
36.6	1631.1	1793.1	1741.2	1729
36.7	1630	1792.4	1740.5	1728.2
36.8	1628.8	1791.6	1739.7	1727.3
36.9	1627.7	1790.9	1739	1726.4
37	1626.4	1790.4	1738.2	1725.5
37.1	1625.4	1789.8	1737.4	1724.6
37.2	1624.4	1788.9	1736.6	1723.8
37.3	1623.1	1788	1735.9	1722.9
37.4	1622.2	1787.1	1735.2	1722
37.5	1621.6	1786.3	1734.4	1721.1
37.6	1620.5	1785.3	1733.6	1720.2
37.7	1619.6	1784.3	1732.8	1719.4
