"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Mn_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"354",201.79,487648,17015,2424,130404,2601,19261,171654,3340,1588,61858,910,482,4892,0.275900932777333,1.03171669747307,1.03256072676565,6.26492688049321,0.208148092351854,2.56204543423653,0.168486762862653,3.85144216884053,0.495943642685945,-1.45273259705986,2.53248565860179,-1.38225567880041,0.619930660835162,2.80732915759858,-1.13218085827831,-1.87567630244198,1.78668977039718,-2.43246234473817,-3.06796283019846,-0.750550447441998,0.539387684898521,0.0188202995983749,0.002681187553715,0.14423992646644,0.00287696733795905,0.0213046012673699,0.189866571099586,0.00369437558968982,0.0017564875558166,0.0684211632416265,0.00100655143311908,0.000533140429410327,0.00541104352837203,2,378752,488431,-3.35549852615458,-3.98521825566165,1.31895651023874,-1.91255499776663,-2.03654201591585,-3.28303610604379,-0.74579588820461,3.9147413374022,2.00218633963557,-0.743495444163665,2.51031140737059,-0.254316575448034
"355",202.29,450859,11368,2474,137464,2151,16656,171700,3734,2337,61754,1161,455,5486,0.256619058941807,1.03555785437555,1.02992535279039,6.92497458084669,0.207987166143954,2.56670707774162,0.170393172908574,3.76891329833815,0.0885610370928312,-1.43640507973167,2.58112071094248,-1.57630850341638,0.470529158170645,2.80350741420146,-1.02476130858244,-1.49337329814525,1.78091739703609,-2.19295965098621,-3.12969921373315,-0.640041961186557,0.519662885734078,0.0131028274583074,0.00285154777725654,0.158441860813579,0.00247925596963574,0.0191978091261055,0.197902487208953,0.00430383160884233,0.00269364072572698,0.0711780442347213,0.00133817581624691,0.000524435828072646,0.00632319769847591,2,356789,477104,-3.68035226124532,-4.01752579067415,1.18779258739567,-2.11059155277183,-2.49255967384964,-3.22116267212903,-0.800203313906383,4.15742921435885,2.04683766158702,-0.46861198956281,2.51290268705765,-0.290589925839302
"356",202.79,463122,10054,2616,144218,2258,16918,178255,4311,2761,61829,1224,394,5558,0.144840024842368,1.0235601801441,1.02467605594178,4.86334640810759,0.207826239936054,2.57136872124672,0.172299582954496,3.76936745950013,-0.0606524935260589,-1.40697662520149,2.60270298489389,-1.55414359306897,0.45975508508538,2.81459205059544,-0.907453163031445,-1.35303012584843,1.75574945126463,-2.16649887470631,-3.30002742848065,-0.65338472747613,0.518313005445889,0.0112521516074662,0.00292775299434371,0.16140469470117,0.00252708954939912,0.0189341457027167,0.199497939605022,0.00482474891384393,0.0030900328812626,0.0691972629538521,0.00136986607992228,0.000440953623765833,0.00622035594134645,1,330534,452427,-3.83001995302619,-4.00967961009538,1.16666447460624,-2.14294789980851,-2.66335547841995,-3.25608771237002,-0.846953533629266,4.15684657796286,2.01389867815435,-0.44557696281698,2.51549126683134,-0.313916895725489
"357",203.29,469467,9137,2431,162637,2683,19982,201161,4654,2786,66274,982,413,5805,0.182093187827181,1.02388130409025,1.02607104561718,4.91852695073087,0.207665313728154,2.57603036475182,0.174205993000418,3.74836676895664,-0.190899135664971,-1.51492854434747,2.68828948382169,-1.41629566823797,0.591600628629372,2.90087434277718,-0.865504174801355,-1.37862436432384,1.79056642373401,-2.42139521030913,-3.28753892570256,-0.6445116245316,0.495003226445891,0.00963399872629195,0.00256323201309136,0.171483490297466,0.00282893932172937,0.0210689025444638,0.212102967908462,0.00490715005714816,0.00293754191216476,0.069878913383635,0.00103541498842275,0.000435464755823418,0.00612075764541149,2,314863,460671,-3.93926590462161,-4.20321802816915,1.06007728513496,-2.09668885519231,-2.87918861948666,-3.33280110835329,-0.89772306008768,4.10458515205965,2.00789629686734,-0.513120189522486,2.5180771595683,-0.38054649868698
"358",203.79,474519,6558,1607,178228,3077,23393,221524,5180,3043,68535,1077,422,5809,0.288100472599308,1.0283007818821,1.02678078755895,5.67795079811234,0.207504387520254,2.58069200825691,0.17611240304634,3.75205748388927,-0.529558497086218,-1.9358750887533,2.7728194540087,-1.28628907916877,0.742192656802956,2.99028676025132,-0.765439119237283,-1.29740030459384,1.81710038817467,-2.33606477733442,-3.2729941404548,-0.650835736498279,0.477877523233284,0.00660441583448476,0.00161837393199405,0.179489451867726,0.00309877821328295,0.023558569627341,0.223091889801525,0.00521666270549421,0.00306453757004226,0.069020073073561,0.00108462272853615,0.000424986807281575,0.00585011460544708,2,308835,468601,-4.28161598097549,-4.708694542762,0.979238029880572,-2.03062679720575,-3.30237795109492,-3.42365519050698,-0.955719065834031,4.05910853317747,2.02848173597173,-0.531961185356558,2.52066037808253,-0.416944506390819
"359",204.29,471713,7553,1982,177376,3147,24308,224705,4818,2692,69035,1120,440,5741,0.198907374087101,1.02205304553712,1.02361833485298,4.60436695042805,0.207343461312354,2.58535365176201,0.178018813092262,3.72329568516689,-0.41113022930201,-1.74896862872553,2.74519670860407,-1.28662544655105,0.757730449639787,2.9817133662018,-0.860716160440642,-1.44279065285084,1.80153855773479,-2.31974637932632,-3.25405561670315,-0.685441653447821,0.474259774991705,0.00759377859103385,0.0019927008033138,0.178333651709681,0.00316399062968139,0.0244392387118828,0.225918180629983,0.00484401234629963,0.00270653408805284,0.0694077194534651,0.00112604687170103,0.000442375556739692,0.00577199561646039,2,317195,472781,-4.1344259144689,-4.4941653373296,0.978098976562816,-1.98746625896429,-3.15632693790608,-3.43063836205189,-0.943658150869279,4.03182215515512,2.04435589619084,-0.582074492410198,2.52324093512585,-0.399115552448335
"360",204.79,448164,7974,1879,168238,3048,23456,220221,4698,3028,66480,1264,464,5563,0.0273122645137095,1.03018134471761,1.03016559573508,6.00109853887584,0.207182535104454,2.59001529526711,0.179925223138183,3.67160563121506,-0.35736735668154,-1.80281388520938,2.69182603790372,-1.3190679678163,0.721572720063537,2.96107798194806,-0.886416719403982,-1.3256512700655,1.76334754490649,-2.19927230991604,-3.20142433239659,-0.717416074547547,0.469538815497911,0.00835431340933307,0.00196861736846461,0.176261973834885,0.00319337186752536,0.0245747147390665,0.230724260511254,0.00492206726825267,0.00317241798388018,0.0696507092365767,0.00132428544637534,0.000486130100568165,0.00582832273590668,1,328760,473893,-4.0289729878966,-4.49463992311309,0.979779593311338,-1.97025331784018,-3.04919339458526,-3.40924211245127,-0.928478492997229,4.01089400572002,2.04064068787984,-0.439234550661519,2.52581884338838,-0.365653556535406
"361",205.29,442885,7040,2003,165787,3109,23199,218963,4833,2950,65433,1324,484,5609,0.00310745807825236,1.034708684131,1.03285134831441,6.77905685830925,0.207021608896554,2.5946769387722,0.181831633184105,3.65983013574872,-0.48187183674673,-1.738833950233,2.67722382499032,-1.29917887584006,0.710629167378327,2.95542275885451,-0.858012614053734,-1.35167483656495,1.74754671144114,-2.15282254940186,-3.15915037918219,-0.709107556390482,0.469347268336055,0.00746063824488485,0.00212267875063982,0.175692731918285,0.00329476197490725,0.0245851344663471,0.232045984661182,0.00512177054510348,0.00312626176454692,0.0693426054371521,0.00140310866991869,0.000512918879335834,0.00594413635164192,1,332369,462959,-4.14170197249545,-4.41605777522332,0.982606310758402,-1.966594657612,-3.15909566173705,-3.3863313813808,-0.929677113549179,3.97640270083039,2.00980804321839,-0.493662222511218,2.52839411549896,-0.33139269974839
"362",205.79,448718,8492,1598,168020,3162,22900,225253,4725,2725,65725,1344,373,5939,0.00725572294679346,1.02348745980204,1.02552078084134,4.85085046072277,0.206860682688653,2.5993385822773,0.183738043230027,3.69333690384114,-0.27393318038552,-1.94430487688245,2.71102529571017,-1.26185298543925,0.718079186333665,3.00416649070819,-0.860190163280823,-1.41058929611132,1.77242164638942,-2.11740748212557,-3.39923458356485,-0.631516955192806,0.467914667133833,0.00885529743246428,0.00166636426013635,0.175208086976289,0.0032972739615464,0.0238796880833057,0.23488957990519,0.00492714088181744,0.00284157860379948,0.0685367903613654,0.00140149785082807,0.000388957364850351,0.00619307718457435,1,329786,469268,-3.96727008422666,-4.65533017259262,0.982311608130966,-1.99294610937651,-2.98495847609569,-3.34254225090298,-0.938603649320756,3.97287828114942,1.97993217177291,-0.550399132830499,2.5309667640257,-0.352730074559777
"363",206.29,446917,7670,1556,167596,2769,21681,213219,4705,2323,65450,1292,362,5598,0.246018303019566,1.02126838315429,1.02707224573945,4.46953397836093,0.206699756480753,2.60400022578239,0.185644453275949,3.74115227521875,-0.323904004447938,-1.9191021940709,2.76033570158763,-1.34273437563828,0.715215681141851,3.00109918669267,-0.81259484678976,-1.51836116603883,1.82006587252881,-2.10502921446669,-3.37733168698347,-0.638811228733841,0.474868722759043,0.00814970811931938,0.00165331757935606,0.178078028939433,0.00294218276172039,0.0230370041375441,0.226554447913058,0.00499926684503229,0.00246828839128799,0.0695434675892377,0.00137280611344989,0.00038464072218952,0.00594811812932854,2,334224,467496,-4.06505627966668,-4.67943789565853,0.980816573631121,-2.04512002044577,-3.08423970603556,-3.39914693032147,-0.940269829058819,4.1030700772259,2.05795005678013,-0.705766319249071,2.53353680147633,-0.335579365674104
