"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","Zn.x","Ni.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Zn.y","Ni.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","Zn","Ni","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Mn_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"189",119.29,391786,7220,1016,171451,3074,23346,216401,5022,2957,65849,1330,465,5927,2762,5497,0.301841313104426,1.03644625182824,1.03631474601601,7.07763293626874,0.22514906154573,2.69872317349911,0.0563781932592392,3.72653013225847,-0.26733068719222,-2.22831229094066,2.90011187139922,-1.12120599498055,0.906240023133517,3.13294752793678,-0.630357379361561,-1.16001039922661,1.94317860194817,-1.95900669786329,-3.00990351349174,-0.464667457291253,-1.22823058510985,-0.539983151218431,0.433342218751625,0.00798581577541497,0.00112376576562626,0.189636579018099,0.00340005508221961,0.025822279098731,0.239354365597725,0.00555467684544792,0.00327064504818588,0.0728335156503186,0.00147107132705013,0.000514321930134067,0.00655566898904218,0.00305496165812966,0.00608005946225154,2,322921,460290,-3.99386081945069,-5.12842416233989,0.826418260859251,-1.99387184826571,-3.16744255859144,-3.36477932869048,-0.95693326945105,4.02131786637977,2.02744601811407,-0.529653019865053,2.48377136282675,-0.354449014360977
"190",119.79,415000,7488,1167,176460,3300,23880,219064,4568,2936,69377,1469,406,5865,2920,6338,0.276895404725992,1.0417907798821,1.0387980590786,7.99601339845467,0.224666203573346,2.69038273727894,0.0555103317499161,3.75284874442276,-0.262128036632652,-2.12099342250352,2.89766444598602,-1.08150730733551,0.897611512716458,3.11393414875844,-0.756354303454234,-1.19838166505567,1.96412562467194,-1.8908478786162,-3.17683189518835,-0.506427293702504,-1.20384615952775,-0.428866514539214,0.441377608648023,0.00796394104471421,0.0012411751067283,0.187675886318145,0.00350974965912886,0.0253978248060597,0.232987817978001,0.00485834437663655,0.00312261363612192,0.073786637000419,0.00156237037856373,0.000431805564123126,0.00623778234872447,0.00310559666807766,0.00674084646653294,2,320305,470921,-4.01497678105541,-5.01865786848954,0.85518429843674,-2.00005293326956,-3.15979248261867,-3.40409173968852,-0.933538821314074,3.97917175332152,1.97911882005197,-0.44202736160144,2.48282298299532,-0.385416684852117
"191",120.29,402445,7383,1170,165711,3085,22938,207542,5009,2866,66388,1462,419,5583,2896,5691,0.241843475586315,1.03782062038137,1.03610542921252,7.31379845253467,0.224183345600963,2.68204230105877,0.0546424702405929,3.74754500611797,-0.25083337536398,-2.09300968663134,2.86023187182131,-1.12346177808366,0.882781488501322,3.08532029338623,-0.638777141065529,-1.19709610603503,1.94550288181746,-1.87020807411342,-3.11989779450101,-0.530287169112785,-1.18668296091754,-0.511127455820022,0.446869156595469,0.0081979773214833,0.00129915122120215,0.184003117962931,0.00342553975846891,0.025470026249517,0.230451660470715,0.005561921766668,0.00318236529911569,0.07371628313946,0.00162338383367311,0.00046525159118265,0.00619928313501845,0.0032156768688901,0.00631920478620634,2,332758,470307,-3.99837838148195,-4.95324155845266,0.887313134296654,-1.97745038331999,-3.11106524718529,-3.3905190409341,-0.914728990003849,3.98369364990497,2.00624326658498,-0.5583189649695,2.4818696117162,-0.345970173896912
"192",120.79,419704,7600,1335,159444,2989,21952,202560,4656,2767,64339,1047,480,5480,2970,5720,0.231061317244855,1.03396055580058,1.03376290253857,6.65050173895279,0.223700487628579,2.6737018648386,0.0537746087312698,3.80696054866313,-0.204440904955823,-1.9436578603959,2.83910361114906,-1.13765026894631,0.856269099295367,3.0784469867077,-0.694432441818971,-1.21482545144332,1.93157682701115,-2.18666022035971,-2.96655832732831,-0.531484051288184,-1.1440271994335,-0.488620346856401,0.46476635110399,0.0084159890503553,0.00147833491871373,0.176563020808533,0.00330991990414631,0.0243089199517631,0.224308255531575,0.00515590066032293,0.00306408443451751,0.0712468841461592,0.00115941322838447,0.000531536150548756,0.00606837105209829,0.00328887993152043,0.00633413912737267,2,339740,468145,-4.01140145361895,-4.78276147154496,0.967856937514066,-1.9828345118537,-3.04354451610489,-3.37058766243725,-0.907526784137912,3.97675388009537,1.99391936824167,-0.520393009624348,2.48091120904272,-0.320597457799199
"193",121.29,464601,9352,1870,135258,2601,20036,176962,3944,2086,63315,1047,473,5598,2309,5086,0.280847468133568,1.03809244204804,1.03680834239738,7.36050710582453,0.223217629656196,2.66536142861843,0.0529067472219467,3.95599203627209,0.0504032877187087,-1.55924850558456,2.72199712924899,-1.22929094998454,0.812343719044312,2.99074808380819,-0.81299149971067,-1.44993857987248,1.96293533145151,-2.13925800456266,-2.93384682694126,-0.462777545357797,-1.3483724060787,-0.558695269451131,0.519375364713405,0.0104545586660377,0.00209046457500967,0.151204308816395,0.00290764618160436,0.0223981541309592,0.197825022525594,0.00440897983092949,0.00233193000185571,0.0707795532442445,0.00117043658290648,0.000528764568973034,0.00625797897909312,0.00258122069716435,0.00568561648582844,2,381827,481607,-3.90558874855338,-4.28124563483356,1.23399490702309,-1.90965341020468,-2.67159384153028,-3.18477467460679,-0.759061797797479,3.95128807923354,2.04163466902886,-0.636947080161808,2.47994773459625,-0.232160802328208
"194",121.79,431766,9345,1386,110965,2090,16720,141706,3491,2158,57906,1121,415,4538,1855,3991,0.280400934551806,1.03976627582387,1.03894854031587,7.64813142385313,0.222734771683812,2.65702099239826,0.0520388857126236,4.02300147414848,0.189959140232945,-1.71846039990687,2.66433253560011,-1.30771823469786,0.771723306981974,2.90887218810374,-0.794694072551682,-1.27570043383864,2.01393870547847,-1.93066115658456,-2.92435905942602,-0.532395914316931,-1.42699760461518,-0.660840474607985,0.546917929249746,0.0118373101375256,0.00175564599792515,0.140559349321619,0.00264740269528395,0.0211792215622716,0.179498969539669,0.00442204919102214,0.00273353828536974,0.07334952175747,0.00141997053656139,0.000525680439494181,0.00574828393837252,0.00234972822954628,0.00505539911812356,2,368788,446039,-3.83304233391553,-4.38279293550698,1.35866893854837,-1.89260922861814,-2.47437339536717,-3.19672844991704,-0.650393830121638,3.97205077029797,2.07944154167984,-0.481006361286956,2.47897914756023,-0.19018443895114
"195",122.29,401475,9358,1524,133482,2418,18081,162628,4170,2366,59103,1336,449,5090,2223,5462,0.231316648626256,1.04051770332023,1.03797697861281,7.77725345753939,0.222251913711429,2.64868055617809,0.0511710242033005,3.83532883763422,0.0764151651306939,-1.73847797004888,2.73415020997572,-1.27687567512073,0.735045235855686,2.93164895669738,-0.73190039150262,-1.29861566175714,1.91946525723172,-1.87013635219888,-2.96054881855321,-0.532538596750899,-1.36095879233127,-0.462001404261817,0.496159621338046,0.0115650083728288,0.00188342303485692,0.164962646678984,0.00298826568128874,0.0223452571478005,0.200982494299679,0.00515346066624236,0.0029240019031965,0.0730419630112523,0.00165108476021578,0.000554893006988686,0.00629043520172029,0.00274727651344287,0.00675016838345702,2,348382,466401,-3.75891367250353,-4.4726281800246,1.1011786276585,-1.99910497412003,-2.65773504484503,-3.26668880672662,-0.814684952743997,4.01102588509645,2.01192091097642,-0.566715270254515,2.47800540667418,-0.291746200225796
"196",122.79,406580,9831,1879,138028,2513,18232,167707,4264,2514,60106,1207,384,5550,2190,5391,0.199114688433434,1.03643790073799,1.03662718138865,7.07619792123207,0.221769055739045,2.64034011995792,0.0503031626939773,3.82911140064753,0.106871347439396,-1.54792959051406,2.74878725218141,-1.25719205238394,0.724508980997992,2.94354909821716,-0.728461624081848,-1.25679420077734,1.91744035922338,-1.99053136883,-3.1357820373398,-0.464871383187048,-1.39476776711698,-0.493938414475859,0.492003639989545,0.0118965216802037,0.00227378336253715,0.167028084068269,0.00304098860567103,0.0220625962031811,0.20294272824961,0.00515987879609282,0.00304219870857818,0.0727344453372315,0.00146059420893153,0.00046467951634607,0.00671607113468929,0.00265012536666118,0.00652366477245225,2,362754,471556,-3.72224005320813,-4.29671684269547,1.08032414846612,-2.02427827118342,-2.64191590474202,-3.21365863536846,-0.831346892958035,4.00597930456535,1.98170103338193,-0.528332576695488,2.47702647022758,-0.262312946322762
"197",123.29,411209,8139,2091,142360,2507,18436,171194,3900,2528,61632,1337,399,5570,2431,5695,0.144611028894207,1.03877872820961,1.03712728424745,7.47843553578225,0.221286197766662,2.63199968373775,0.0494353011846542,3.8248038048817,-0.0976304738343642,-1.45665537573277,2.76406126446272,-1.27521097700311,0.720007478678993,2.94849962018525,-0.833321243043668,-1.26686931989466,1.92688341999639,-1.90386949805946,-3.11309165827154,-0.476902742240076,-1.30599510084528,-0.454709199280123,0.48986810065902,0.00969588815240855,0.00249098195437846,0.169591674330616,0.00298655751297312,0.0219625745150269,0.203941255235708,0.00464602086182496,0.00301157454838295,0.0734214250656399,0.00159275125442563,0.000475323672786707,0.00663547082060641,0.00289601967053756,0.0067843817456649,1,368733,478157,-3.92243427871606,-4.2207166401955,1.06074254041898,-2.04405378578373,-2.86169173829709,-3.2409640067028,-0.837177844466332,4.03927224146584,1.99521845568211,-0.43354807685099,2.47604229605367,-0.259866325549391
"198",123.79,397332,8389,2271,144239,2533,19349,174171,4311,2538,62045,870,397,5529,2348,5615,0.0183006535947712,1.03052488477147,1.03314459050509,6.06013096798123,0.220803339794278,2.62365924751759,0.0485674396753311,3.80465182283348,-0.05319905654922,-1.35990011728996,2.79135126556802,-1.25071600939384,0.782520358140414,2.97991719483074,-0.71895048464838,-1.24874401112118,1.94773954781321,-2.31938244774688,-3.10393937870832,-0.470113413057582,-1.32655647844753,-0.454678792222971,0.477598664321938,0.0100836962414221,0.00272977400933003,0.173377311022349,0.00304470170217216,0.0232577707206195,0.20935599690842,0.00518188276275728,0.00305071177264625,0.0745789645129379,0.00104575226249103,0.000477199595642459,0.00664593593024472,0.00282232909463096,0.006749309142399,1,346376,459226,-3.8578508793827,-4.15125138285798,1.01330055726546,-2.00883090742761,-2.84455032211724,-3.2614646786256,-0.843611717754818,4.04206727496186,2.03323636753425,-0.529793526472802,2.47505284152308,-0.282017573388189
"199",124.29,408416,7421,1744,150436,2625,19459,179085,4549,2894,63901,1138,441,5459,2513,5827,0.0409639440451641,1.02795503268559,1.02934465947598,5.61853875953972,0.220320481821895,2.61531881129742,0.047699578166008,3.80333563223116,-0.204636811581129,-1.65276930508234,2.8045871140063,-1.24386973452554,0.759359057406894,2.97890992289634,-0.694043201981258,-1.14631100235983,1.94838438014418,-2.07967829486499,-3.02766103410442,-0.511685007769505,-1.28747337200767,-0.446448342408188,0.477172780252083,0.00867032438065773,0.00203760217219608,0.175761880949822,0.00306691840711852,0.0227349201082359,0.209233936357646,0.00531482355580273,0.00338120452198133,0.0746587250031545,0.00132958215135272,0.000515242292395912,0.00637802193693715,0.00293606322174813,0.00680797468886843,1,341104,466629,-4.00797244381228,-4.45735641908864,0.998748518224855,-2.04522805659941,-3.00922392558743,-3.3162721217758,-0.856202733862119,4.04845684853184,2.00322879193243,-0.452267800378575,2.47405806353745,-0.313347093269766
"200",124.79,422496,8037,1321,162418,2896,21636,196041,4710,2834,67022,1511,449,5370,2642,5748,0.237875169905069,1.02816306150801,1.02898037501019,5.65428552785183,0.219837623849511,2.60697837507725,0.0468317166566849,3.79788235392748,-0.164241746138733,-1.96990859982913,2.84187563365467,-1.18496715084584,0.826060968639866,3.03002619565882,-0.698609717340988,-1.20660848410083,1.95672329833285,-1.83552594207871,-3.0490300166092,-0.567469716848541,-1.27676141926918,-0.499445657152536,0.466778841957683,0.00887937768124172,0.00145945724983455,0.179441428920234,0.00319953686261989,0.0239037222236339,0.21658853801273,0.00520366665156756,0.00313103849056103,0.0740467401956181,0.00166937161582136,0.00049606079120039,0.00593284287025856,0.00291891449966911,0.00635046197732704,2,335098,473426,-3.96212410006621,-4.8117842334838,0.956006720272804,-2.01581466501481,-3.0061173797934,-3.40934535050321,-0.885152335321823,4.02684278450052,2.01102811948571,-0.507998766759838,2.47305791852289,-0.345572591055926
"201",125.29,422217,8659,1344,161815,2918,21304,198500,4730,2650,67078,1218,463,5792,2602,6066,0.261572730015057,1.02941433385881,1.02944037407569,5.86929872794519,0.219354765877128,2.59863793885708,0.0459638551473617,3.79993371033017,-0.0869864470848839,-1.94993544744959,2.84086801782255,-1.17468723944995,0.813309158961083,3.0452034105767,-0.691660487046706,-1.27102604955242,1.96027043181389,-2.04837552026284,-3.01561391444645,-0.489108034467133,-1.28930530946023,-0.442886280284159,0.465326729530636,0.00954311207508409,0.00148122677317393,0.178336838021681,0.00321593729473327,0.0234792077200129,0.218767495889155,0.00521294839070883,0.00292057362270156,0.0739268820617266,0.00134236176318887,0.000510273806532386,0.00638338204629715,0.00286767266651678,0.00668535833785196,2,345971,482840,-3.88692015741505,-4.79080346527214,0.959065692507621,-2.02755885886146,-2.92785446490743,-3.32997605228968,-0.880597586008661,4.0155552572725,1.98799639841104,-0.579365562505711,2.47205236242331,-0.33333037931678
"202",125.79,410521,7290,1391,156165,2767,20344,191687,4988,2745,65642,1217,365,5969,2499,6028,0.145765048945672,1.03418227731441,1.03164307253712,6.68860139981976,0.218871907904744,2.59029750263691,0.0450959936380386,3.80677853038799,-0.224145008300906,-1.88062564138017,2.84026458627335,-1.19288485351668,0.802137473798346,3.04521527913747,-0.603613526503683,-1.20086747935998,1.97356718066232,-2.01425974031608,-3.21850647972112,-0.42406914513496,-1.29475790246866,-0.414233273557224,0.466703728209291,0.00828768851933453,0.00158136827577426,0.177537294598337,0.00314568369451285,0.0231282215689083,0.21792073377307,0.00567064339292738,0.0031206728375272,0.0746255761023535,0.00138355513416051,0.000414952854534582,0.00678590024306006,0.00284100598214225,0.00685297481406702,1,349287,477929,-4.03092353868889,-4.72089022765352,0.966513944114633,-2.03812711247501,-3.06440959457426,-3.26433373140831,-0.866697405611031,4.03314943979004,1.99502232731503,-0.597253952856296,2.47104135069366,-0.313568252065623
"203",126.29,408683,7771,1327,159087,2794,21495,194382,4763,3079,66705,1392,405,5744,2724,6212,0.134537319965741,1.03839343203202,1.03636321017176,7.41222791593598,0.218389049932361,2.58195706641674,0.0442281321287155,3.76825936019983,-0.194281577976013,-1.96175967885305,2.82477078818562,-1.21720617336835,0.823139915745126,3.02514486094367,-0.683802712384395,-1.12007556526076,1.95559947842765,-1.91393887229089,-3.14854864607872,-0.496524602457195,-1.24257904591585,-0.418197528916678,0.460974572591006,0.00876531053066731,0.00149679154216903,0.179442408492121,0.00315149628396403,0.0242453158997161,0.219253454069254,0.00537243264156072,0.00347296244034547,0.0752399998646458,0.00157010838485251,0.000456820327489417,0.00647895299036842,0.00307253968415104,0.00700683425768953,1,336558,463817,-3.96254093817584,-4.78653046703866,0.94348857201421,-2.00163087244049,-3.01905236616163,-3.32129539064281,-0.869171309757966,4.04197696155397,2.04034608911347,-0.43627285287636,2.47002483829307,-0.320719581091971
"204",126.79,406368,7862,1446,163605,2977,22583,198625,4553,2811,68147,1175,422,5616,2657,6330,0.157337054978875,1.03671614385153,1.0357771519345,7.12401000803095,0.217906191959977,2.57361663019657,0.0433602706193924,3.7637446233578,-0.181473502649157,-1.87471340591225,2.85394045639999,-1.15259844761519,0.873682881186342,3.04790409520805,-0.72772817329618,-1.20997423772443,1.97815260698186,-2.0822463820527,-3.10626449459495,-0.517894862925315,-1.26631686287115,-0.39821429349274,0.453952681983563,0.00878262064373861,0.00161532300316027,0.18276273854221,0.00332559929488805,0.0252274131261192,0.221883493432025,0.00508614497468099,0.00314016110780326,0.0761268441883561,0.00131258957725679,0.000471415150299885,0.00627361963053117,0.00296812809086918,0.00707122725449827,1,329172,459778,-3.94521812600695,-4.72865386231224,0.909804166957807,-1.98025757521365,-3.03541395904915,-3.37183531932531,-0.875787849418127,4.00653890401518,2.02628132880153,-0.48224606442825,2.46900277967787,-0.334163353786877
"205",127.29,404274,8242,1555,162445,2900,22069,195955,4813,2801,67273,1169,331,5702,2604,6376,0.227428577174407,1.03199326038865,1.03129027015284,6.31245024938002,0.217423333987594,2.5652761939764,0.0424924091100693,3.76936652566173,-0.123483307318806,-1.79125079460423,2.85761314270486,-1.168015603243,0.861447568630591,3.04515870079811,-0.66140574991446,-1.20274984395746,1.97603262721025,-2.0765776577455,-3.33836324384051,-0.491909349744952,-1.27567761588911,-0.380185398747518,0.455002706781811,0.00927621442213866,0.00175012295879952,0.182828761441921,0.00326389490708592,0.0248382402429238,0.2205436298338,0.00541694006476018,0.00315247228784402,0.0757144834773761,0.00131568729185636,0.000372534211808772,0.00641749267593238,0.00293075253036266,0.00717606687157924,2,342684,470929,-3.89284983298054,-4.6488639373091,0.911753382956865,-1.99616557407427,-2.98109645002367,-3.34952249244982,-0.881580515494615,4.02562874594787,2.02946317187359,-0.541344094043001,2.46797512879444,-0.317898599828469
