"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"523",129.51,427288,6743,1481,136225,2125,17199,167001,4716,3294,46584,955,365,4760,0.245030760949934,1.03604843480786,1.03719514060699,7.00927378923872,0.215279444590211,2.52824465715885,0.0386391040086746,3.82051379331486,-0.328439535874497,-1.84422693034128,2.67736346484222,-1.48317266325056,0.607906776967413,2.88105533479584,-0.685983482951818,-1.04484183387149,1.60431266890788,-2.28298840412835,-3.24480239102659,-0.676696797383614,0.521887397158547,0.00823586601786168,0.00180888589239999,0.16638452443767,0.00259546422778527,0.0210067714134959,0.203974174825585,0.00576009849328721,0.00402327490179985,0.056897461452776,0.00116643215883997,0.000445809149713705,0.005813839870239,2,270637,383360,-4.14895332918936,-4.5215903951835,1.14315032847264,-2.06945668787481,-3.35406026222583,-1.07305079593434,4.16053612809278,2.09107944021798,-0.358858350919676,2.46334360304949,-0.348196055911958
"524",129.71,429445,6727,1494,136980,2195,16821,167652,4728,2943,46999,1278,341,5233,0.255545365392007,1.03206578130131,1.03265678904803,6.3249119276833,0.215086301401258,2.52490848267078,0.0382919594049454,3.80648737861073,-0.349877019691331,-1.85454921202417,2.66382863103496,-1.46982425220766,0.566621807074846,2.86588410372155,-0.702504018631002,-1.17657682948346,1.59412002615316,-2.01070994277946,-3.33187910043342,-0.601021571344729,0.521908375423535,0.00817538367305271,0.00181567165267441,0.166473027431955,0.00266760326480611,0.0204427127641474,0.203748985216981,0.00574598097312223,0.00357665440014778,0.0571183079009669,0.00155316490770943,0.000414420370523409,0.0063597120203783,2,273698,386316,-4.15636439830206,-4.51837784305913,1.14265874757577,-2.09720682396011,-3.26485020237969,-1.0697086048818,4.13365288324262,2.03644605928251,-0.474072810852461,2.46292074711199,-0.3446303786519
"525",129.91,437030,6652,1468,140607,2141,16297,167836,4596,2698,47890,1062,407,5197,0.243099761630125,1.02716260857933,1.02964668638282,5.48237204666633,0.214893158212304,2.52157230818272,0.0379448148012161,3.83569971494094,-0.349384566353258,-1.86040119749162,2.70166663708205,-1.48302911807639,0.546678914109913,2.87868518445889,-0.71911576769743,-1.25179136989837,1.62460458667058,-2.18414820486419,-3.14324422122348,-0.596220591657634,0.524091567022153,0.00797715741214874,0.00176044303683619,0.168617584523451,0.0025675126306991,0.0195435559750132,0.201270924748255,0.00551157779107571,0.00323547364671938,0.0574302568352079,0.00127356301438694,0.0004880792343272,0.00623230412972594,2,269781,389381,-4.1850842812942,-4.56206783457366,1.13403307785889,-2.15498772297213,-3.29788722873968,-1.07706205041147,4.18469575515844,2.02970803218631,-0.532675602200945,2.46249695169412,-0.366947779974126
"526",130.11,440171,5707,1397,142609,2224,16758,168593,4581,2834,48000,1009,395,4990,0.240164339159523,1.02642828955459,1.0285021580131,5.35618985835306,0.214881400078535,2.52392285132408,0.0377676070518792,3.85706369222006,-0.488406104001761,-1.89577251528151,2.73000702403677,-1.430792219168,0.588776160634763,2.8973879307628,-0.708182280651727,-1.18841045428784,1.64110141535156,-2.22113985418486,-3.15896910963735,-0.622663685792905,0.524470133497286,0.00679997331007497,0.0016645457708384,0.169920692794197,0.00264992827082648,0.0199674001629992,0.200881005828889,0.00545832797151804,0.00337675212208734,0.0571926964926579,0.00120223814085608,0.000470648231554164,0.00594565740621589,2,269945,385312,-4.34546979622182,-4.62577953931828,1.12705666818329,-2.14123086340201,-3.35267070982968,-1.08890560868521,4.16079924320477,2.01956837980276,-0.480228173636116,2.46348340877402,-0.355835161165555
"527",130.31,446317,6307,1707,142469,2246,17326,170399,4660,2989,48271,1131,460,5338,0.211732559666386,1.02781743170451,1.02856927247744,5.59489400525547,0.215018047899008,2.53092616343498,0.037729438547045,3.81116307053458,-0.448206263663883,-1.75512894753309,2.66925804083756,-1.48071553502915,0.562341872122552,2.848276354488,-0.750850943207842,-1.1949275080436,1.58696457491374,-2.16676419421141,-3.06639518084439,-0.615015340363064,0.525313669640545,0.00742331866010687,0.00200913349497422,0.167685553541583,0.00264353475671477,0.0203926461241496,0.200559073468139,0.00548480497163438,0.00351804336056119,0.056814811327417,0.00133118335255761,0.000541418516513265,0.00628280878510393,2,269431,386692,-4.25936933419847,-4.42438698837065,1.14190502969702,-2.10691616871501,-3.28427338120063,-1.08229346592382,4.14997357586671,2.0430574071517,-0.444076564835754,2.46561861891642,-0.361316182644264
"528",130.51,445312,5640,1920,140771,2423,17679,172978,4553,2906,47409,1027,426,5188,0.216006350220319,1.02980092143523,1.03024646724745,5.93572825615227,0.215154695719481,2.53792947554588,0.0376912700422108,3.82187381442302,-0.547017280156433,-1.62457615962671,2.67023311093456,-1.39189490383201,0.595476148857485,2.87626307311483,-0.761114989313756,-1.21012378051831,1.58191073842868,-2.25025941471998,-3.13021727837917,-0.630553079212203,0.524988446557074,0.00664912429618312,0.00226353167529638,0.165958134095389,0.00285652981731413,0.02084217525394,0.203927699025738,0.00536763526959605,0.00342594950438088,0.0558915485386074,0.00121075366173405,0.000502221090456385,0.00611625121429043,2,273746,386798,-4.36889109457945,-4.29480927056127,1.15164070348846,-2.07475696207707,-3.30078619014676,-1.08832237250588,4.06212801476657,1.9873710526895,-0.449008791204554,2.4677465761001,-0.345701923783145
"529",130.71,439880,6794,2043,141535,2531,18074,175222,4475,2888,46646,832,358,4859,0.216409804513053,1.03151128658952,1.03280280055895,6.22962996741254,0.215291343539953,2.54493278765678,0.0376531015373766,3.82265610667949,-0.347805986024854,-1.54942653992776,2.68870118055744,-1.33523137420026,0.630628585716518,2.90220788563195,-0.765339504036428,-1.20328163473267,1.57874132294491,-2.44776869392417,-3.29106814834468,-0.683013200339481,0.519868531928045,0.00802943258597603,0.00241450261600663,0.167271966596426,0.00299124137107821,0.0213606070884502,0.207084668322033,0.00528874165767482,0.00341315886198098,0.0551281884612066,0.000983292303728592,0.000423099332613986,0.00574256887478033,2,272752,385237,-4.17046209270434,-4.23812772048521,1.13395492612204,-2.05807259484093,-3.37171438089692,-1.10995985761254,4.0239325547577,1.96585995991678,-0.437942130696239,2.46986732201153,-0.345295771900435
"530",130.91,442716,5603,1840,145700,2608,18620,175405,4709,2922,47331,1224,404,4887,0.191499742702487,1.03541070877729,1.0372037023246,6.89968972104791,0.215427991360426,2.55193609976768,0.0376149330325425,3.7991796198684,-0.570446692490236,-1.68398328945249,2.68780085212778,-1.33516521700898,0.630487410775537,2.87334872472978,-0.744273289811966,-1.22148054774488,1.56341661087004,-2.09162467698325,-3.20008926209437,-0.707170242785366,0.518421628888168,0.00656112809715575,0.00215464495783805,0.170615092585328,0.00305397502719654,0.0218040701711655,0.205399727624773,0.00551425168829313,0.00342166987326238,0.0554247285323004,0.00143330729804009,0.000473085088568789,0.00572269016791008,2,266582,387756,-4.36962631235863,-4.37178414158026,1.11137876774062,-2.05731344135224,-3.39497109491314,-1.12438424125773,4.02296606913675,1.96565262778451,-0.47720725793291,2.47198089799026,-0.374694387238722
"531",131.11,462922,6453,1601,151807,2563,18865,178029,4687,3031,48548,1158,330,5153,0.199078896282489,1.04007987579913,1.04092127611354,7.70201908003428,0.215564639180899,2.55893941187859,0.0375767645277083,3.84758745622155,-0.425425978196225,-1.81934268313535,2.7326388600554,-1.34879266976799,0.647337236266346,2.89197534122023,-0.745178398209359,-1.18107851907426,1.59258188209419,-2.14327673799912,-3.39863374167154,-0.650392047803841,0.522988836882461,0.00729031449013554,0.00180873911339021,0.171504846087712,0.00289556423961218,0.0213128440812656,0.201129303946124,0.00529516566174884,0.00342428997669314,0.0548473869312103,0.00130825727252084,0.000372819429992984,0.00582163188713287,2,271032,404794,-4.27301343441777,-4.55198154319075,1.11494859616615,-2.08530162378905,-3.38303090785924,-1.14005697796121,4.08143152982339,1.99612990603434,-0.435900120864903,2.47408734503273,-0.401141400639541
"532",131.31,473582,6938,1568,154663,2660,19725,182785,4686,2980,50376,1018,446,5424,0.229589007778058,1.05025994976419,1.0430746188559,9.45131872612284,0.215701287001371,2.56594272398949,0.0375385960228741,3.83615843418101,-0.387153093362196,-1.87436571998154,2.71708191447083,-1.34584051911615,0.657720224822184,2.88414395685067,-0.77958730182415,-1.23224334139244,1.59534822927669,-2.30632672378142,-3.13160296887183,-0.633333091271659,0.522226914895611,0.00765065043761323,0.0017290602315044,0.170549516954825,0.00293322717844497,0.0217510925168523,0.201560123989498,0.00516733178879441,0.00328609661344587,0.0555504708050165,0.00112256589009661,0.000491811775032503,0.00598113692326523,2,267371,410890,-4.22331152754321,-4.59144763445236,1.11907651971018,-2.05936168964864,-3.35041500574249,-1.12173368519414,4.06292243358697,2.00356074393833,-0.452656039568291,2.47618670379602,-0.429688331742748
"533",131.51,476446,5990,1587,155362,2595,19939,184826,4613,2855,51831,1022,384,5546,0.231866217135423,1.04486148707569,1.04310716991266,8.5236703708334,0.215837934821844,2.57294603610039,0.0375004275180399,3.86378573807966,-0.512477240127444,-1.84072321071053,2.74318922553182,-1.34898213563695,0.69010896056996,2.91684618969719,-0.773690247679118,-1.25349680914683,1.64541977360595,-2.28080716047329,-3.25968137864921,-0.589491705061216,0.521848945668984,0.00656081735297855,0.00173823324527161,0.170167229648323,0.00284229065625698,0.0218390880135291,0.202439003018633,0.00505259606832889,0.00312706736940797,0.0567702377666496,0.0011193915416935,0.000420593299422999,0.0060745063505207,2,268892,403247,-4.3762629782071,-4.58391243624235,1.12059651254784,-2.05308026496186,-3.33268093059304,-1.09776945192587,4.09217136116877,2.03909109620691,-0.47980656146771,2.47827901460155,-0.405239465428506
"534",131.71,471993,7172,1800,154137,2786,20054,187311,4629,2962,50855,1227,467,5739,0.229928063170972,1.04102372161281,1.04060499513392,7.86420544071314,0.215974582642317,2.57994934821129,0.0374622590132058,3.79187198666274,-0.39490761256148,-1.77730550340225,2.67274964903008,-1.34048529294675,0.633336466797367,2.86767816873244,-0.832751306255233,-1.27922745245876,1.56388627777319,-2.16052000257559,-3.12651818961761,-0.617807189178141,0.518029220793474,0.00787152684792105,0.00197556446266842,0.169170877545734,0.00305773477388567,0.0220099831857514,0.205580530592713,0.00508049327649561,0.00325090107690214,0.0558151837494457,0.0013466764420523,0.000512549224481195,0.00629875802847447,2,265763,401948,-4.18677959922422,-4.45005515243232,1.11912233763267,-2.03941318223271,-3.29055683820822,-1.10886337125688,4.01323494197683,1.97382175974412,-0.446476146203526,2.48036431743878,-0.413717792836574
"535",131.91,467048,6149,2105,151247,2728,20207,186301,4598,3164,50134,1215,450,5183,0.22905255848344,1.03485627673362,1.03617927523581,6.8044185293948,0.21611123046279,2.58695266032219,0.0374240905083716,3.79284041971488,-0.537302149426714,-1.6092761492637,2.66532264560545,-1.35002287641683,0.652437462633312,2.87377202888162,-0.827970190057057,-1.20175456649264,1.56110780423351,-2.15884753960554,-3.15209931261582,-0.708207577190477,0.5186373786963,0.00682820875285527,0.00233751494954632,0.167953502885526,0.00302933053793937,0.0224390330572364,0.20687951193132,0.00510588776152684,0.00351349040397366,0.0556717218434942,0.00134920696612769,0.000499706283750995,0.00575550593040313,2,264357,399537,-4.33014256914159,-4.27459879486915,1.12751777410943,-2.01288518297214,-3.37353022279593,-1.10421484137194,4.01534552202228,2.00246033905014,-0.373784376435582,2.48244265196874,-0.413005914311202
"536",132.11,465255,5775,1841,152183,2614,20656,185478,4613,2900,49934,1224,465,5193,0.218304737231247,1.03131081529549,1.03248988435662,6.195181851917,0.216247878283262,2.59395597243309,0.0373859220035374,3.80940491763572,-0.579642468331297,-1.72287182248821,2.69190301931209,-1.37229910953712,0.694825109365133,2.88975555189224,-0.804302320163471,-1.26846998774673,1.57752140872158,-2.13105654064902,-3.09889859813393,-0.685869159876972,0.518025766842476,0.00643001967419007,0.00204981233249938,0.169444101138921,0.00291048855901867,0.0229988721021766,0.206515530585182,0.00513622177611061,0.00322892762859761,0.05559768007117,0.00136283014393223,0.000517741843895824,0.00578200730183013,2,259219,393927,-4.38904738596702,-4.4147748418003,1.11750189832363,-1.99707790994696,-3.37777217918906,-1.11438161059051,4.06420212884921,2.06712421890226,-0.464167667583255,2.48451405752768,-0.418492348683047
"537",132.31,466303,5405,1486,153001,2704,20152,186625,5032,2616,50483,1032,434,5548,0.219010472895047,1.0291674662067,1.02937436341194,5.82687806401393,0.216384526103735,2.60095928454399,0.0373477534987032,3.84520829366744,-0.612302892661393,-1.903539397457,2.73081711356622,-1.30489518557185,0.703676195297744,2.92947391210679,-0.683809824354425,-1.33798091015761,1.62200930219155,-2.26812867669319,-3.1343380886343,-0.58618984129998,0.517642239690238,0.00600008214728564,0.00164960630358306,0.169846173657142,0.00300170622132477,0.0223707040577429,0.207172124095686,0.00558601542370793,0.00290401755731716,0.0560411002851843,0.00114562160518016,0.000481782729310263,0.00615882622629801,2,261668,393609,-4.45751118632883,-4.63435651102322,1.11439118010121,-2.02714091826848,-3.3170069548662,-1.10880781137467,4.03571229913807,2.00857138086959,-0.654171085803187,2.48657857313052,-0.408281506127619
"538",132.51,458336,6263,1610,155216,2592,19721,186450,4867,2829,49823,1333,398,5275,0.232055609381009,1.02674669996507,1.02713890314847,5.41090411880695,0.216521173924208,2.60796259665489,0.0373095849938691,3.8040967045873,-0.488846531466882,-1.84727165601379,2.72131186020877,-1.37107605652013,0.658178222817774,2.90465727161467,-0.74102810415884,-1.28358254269073,1.58497088979133,-2.03607379381359,-3.24480910870786,-0.660527155648027,0.512271532882612,0.00700001005909157,0.00179945971501476,0.173481328649522,0.0028970183734896,0.0220417049936684,0.208390847120809,0.00543973318818437,0.0031619077849545,0.0556860132802362,0.00148986322988489,0.000444835382966381,0.00589574533956699,2,265061,392025,-4.29294323605418,-4.56858351622256,1.08278484437853,-2.063133637391,-3.3818390158568,-1.13634097041744,4.0923879167289,2.0292542793379,-0.542554438531887,2.48863623747433,-0.391365625090977
"539",132.71,458308,6925,1657,153920,2594,19455,188376,4678,3104,49164,899,409,5048,0.253571875905698,1.02502573286754,1.02527907999418,5.1151806157201,0.21665782174468,2.61496590876579,0.0372714164890349,3.82345913494223,-0.368944260162064,-1.79907357379104,2.73235067468193,-1.35088122634121,0.66402179420105,2.93435765325716,-0.761211644073479,-1.17139070991449,1.59107933611727,-2.41055455674598,-3.1981224351748,-0.685090186996555,0.512341021109244,0.00774143495461898,0.00185235490538681,0.172066666890246,0.00289982415484211,0.0217486811613159,0.210584917113546,0.00522952097006608,0.00346995149446026,0.0549602755391896,0.00100498917317003,0.000457219768438868,0.00564314276547532,2,269946,393754,-4.19240339510429,-4.53142424847297,1.0911084602603,-2.06832888048088,-3.41744086167848,-1.14127133856466,4.08323190102314,2.01490302054226,-0.410179065841015,2.49068708894176,-0.377504409822694
"540",132.91,458732,6285,1482,149951,2457,18912,186608,4634,2945,48376,1330,404,5383,0.254130749711654,1.02290833776274,1.02444021214847,4.75133664757483,0.216794469565153,2.62196922087669,0.0372332479842007,3.82133551184116,-0.468964807658392,-1.91373812282671,2.70317792436181,-1.40818955616156,0.632665991523084,2.92187951024809,-0.773710223690419,-1.22702183259705,1.57187317327031,-2.02195170746694,-3.21347105072159,-0.623884810121783,0.516881709162489,0.00708169812022323,0.00166986103646314,0.168959063615846,0.00276845382360994,0.0213093197851491,0.210262772127067,0.00522141433398798,0.00331831359809983,0.0545082304318089,0.00149859323785154,0.000455211780520316,0.00606535894688332,2,263987,400808,-4.29030031949956,-4.61691604718852,1.11815758747935,-2.07051193283872,-3.32706273448359,-1.1313047510915,4.11136748052337,2.04085554768465,-0.453311608906634,2.49273116560437,-0.41758265014167
"541",133.11,450929,6429,1416,144818,2431,18469,181942,4658,3154,48407,927,414,5281,0.210828076775205,1.02253859085153,1.02525465716594,4.6878009460525,0.216931117385626,2.6289725329876,0.0371950794793665,3.83616732002277,-0.414323573989364,-1.92730658387739,2.70033520246919,-1.38683988381493,0.64095107174486,2.92854537581952,-0.736556407686765,-1.12647109060807,1.60450185221521,-2.3509442925652,-3.15703188430574,-0.611027105424118,0.51874147996894,0.00739581835437577,0.00162894365994651,0.166596301515631,0.0027965833596963,0.0212464409996836,0.209303154927957,0.005358488395502,0.00362831094877916,0.0556866354145696,0.00106640591297345,0.000476258951425038,0.00607517759052084,2,268707,392943,-4.25049089401213,-4.62764178634658,1.13583211755358,-2.05938413072433,-3.31136230789331,-1.09583335025398,4.08717508628412,2.02779095555979,-0.389914682921303,2.49476850522604,-0.380042996541763
