Geotek MSCL 7.9 - Poso22.out created at 18:39:54 on 06.03.2023.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Processing Parameters,,,,,,,,,
,,,,,,,,,
CT,RCT=5.9,W=0,,,,,,,
PWAmp,A=1,B=0,,,,,,,
PWVel,PTO=21.7,,,,,,,,
Den1,A=0,B=-.0588191,C=10.07426,,,,,,
MS1,A=1,B=0,Den=0,LD=7,,,,,
FP,MGD=2.75,WD=1.026,,,,,,,
,,,,,,,,,
,,,,,,,,,
SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,Imp,FP
cm,,cm,cm,,m/s,g/cc,SI x 10^-5,,
,,,,,,,,,
1383.6,20,12.4,5.87,0.7167,1324.16,1.3211,4.495,1749.316,0.8288
1384.1,20,12.9,5.865,0.7268,1323.032,1.335,4.4206,1766.189,0.8208
1384.6,20,13.4,5.865,0.7123,1319.757,1.3466,4.3748,1777.182,0.814
1385.1,20,13.9,5.86,0.8079,1318.039,1.3287,4.3,1751.329,0.8244
1385.6,20,14.4,5.856,0.7421,1317.435,1.3419,4.3937,1767.814,0.8168
1386.1,20,14.9,5.855,0.7582,1318.397,1.3144,4.2642,1732.947,0.8327
1386.6,20,15.4,5.856,0.7701,1320.108,1.3225,4.2227,1745.84,0.828
1387.1,20,15.9,5.859,0.6166,1324.367,1.3205,4.2166,1748.787,0.8292
1387.6,20,16.4,5.86,0.6177,1320.117,1.3293,4.2146,1754.857,0.8241
1388.1,20,16.9,5.863,0.5775,1322.581,1.308,4.2479,1729.979,0.8364
1388.6,20,17.4,5.861,0.5943,1321.235,1.3166,4.252,1739.476,0.8315
1389.1,20,17.9,5.86,0.7749,1319.523,1.3028,4.254,1719.017,0.8395
1389.6,20,18.4,5.865,0.7474,1320.054,1.3164,4.2504,1737.751,0.8315
1390.1,20,18.9,5.865,0.8016,1321.541,1.3061,4.2897,1726.002,0.8376
1390.6,20,19.4,5.865,0.7817,1324.227,1.2919,4.2897,1710.767,0.8458
1391.1,20,19.9,5.868,0.6287,1327.602,1.2581,4.3227,1670.199,0.8654
1391.6,20,20.4,5.87,0.5831,1322.668,1.2748,4.3643,1686.176,0.8557
1392.1,20,20.9,5.87,0.6309,1323.563,1.3084,4.4493,1731.736,0.8362
1392.6,20,21.4,5.87,0.7093,1319.398,1.3155,4.495,1735.661,0.8321
1393.1,20,21.9,5.87,1.0031,1321.179,1.2937,4.5342,1709.156,0.8447
1393.6,20,22.4,5.866,0.7879,1326.549,1.2657,4.5887,1678.962,0.861
1394.1,20,22.9,5.867,0.7469,1321.694,1.3014,4.5473,1720.044,0.8403
1394.6,20,23.4,5.865,0.9162,1322.435,1.2917,4.6368,1708.2,0.8459
1395.1,20,23.9,5.866,0.8486,1321.171,1.307,4.6345,1726.745,0.837
1395.6,20,24.4,5.869,0.8727,1324.532,1.3059,4.5821,1729.744,0.8376
1396.1,20,24.9,5.87,0.5514,1330.764,1.3095,4.6649,1742.69,0.8355
1396.6,20,25.4,5.87,0.2987,1332.879,1.2878,4.5407,1716.415,0.8482
1397.1,20,25.9,5.87,0.4063,1334.091,1.2921,4.5407,1723.823,0.8456
1397.6,20,26.4,5.87,0.3673,1222.662,1.303,4.5407,1593.159,0.8393
1398.1,20,26.9,5.87,0.5088,1324.459,1.2958,4.495,1716.18,0.8435
1398.6,20,27.4,5.867,0.7997,1327.075,1.3104,4.5407,1739.003,0.835
1399.1,20,27.9,5.86,0.7588,1326.392,1.2982,4.5166,1721.872,0.8421
1399.6,20,28.4,5.86,0.5911,1332.121,1.2913,4.5166,1720.145,0.8461
1400.1,20,28.9,5.86,0.4442,1332.121,1.3085,4.6019,1743.094,0.8361
1400.6,20,29.4,5.86,0.5684,1321.904,1.3276,4.5626,1754.932,0.8251
1401.1,20,29.9,5.86,0.8771,1322.799,1.3204,4.6873,1746.674,0.8292
1401.6,20,30.4,5.855,0.7314,1329.775,1.3162,4.7446,1750.208,0.8317
1402.1,20,30.9,5.855,0.8845,1336.453,1.3131,4.8762,1754.881,0.8335
1402.6,20,31.4,5.855,0.4059,1236.275,1.2874,4.9618,1591.61,0.8484
1403.1,20,31.9,5.855,0.3362,1225.408,1.2851,5.0934,1574.817,0.8497
1403.6,20,32.4,5.855,0.4472,1332.196,1.3154,5.1789,1752.367,0.8321
1404.1,20,32.9,5.855,0.7338,1326.762,1.3247,5.2711,1757.5,0.8268
1404.6,20,33.4,5.855,0.7838,1327.664,1.3096,5.2711,1738.746,0.8355
1405.1,20,33.9,5.86,0.7527,1323.696,1.2833,5.2978,1698.67,0.8508
1405.6,20,34.4,5.86,0.687,1329.401,1.3145,5.2584,1747.455,0.8327
1406.1,20,34.9,5.855,0.6925,1328.568,1.3023,5.3105,1730.242,0.8397
1406.6,20,35.4,5.855,0.6485,1328.267,1.2886,5.2711,1711.563,0.8477
1407.1,20,35.9,5.846,0.7934,1325.624,1.282,5.3336,1699.406,0.8515
1407.6,20,36.4,5.844,0.754,1325.771,1.2822,5.3387,1699.925,0.8514
1408.1,20,36.9,5.843,0.6884,1324.643,1.3017,5.3413,1724.35,0.8401
1408.6,20,37.4,5.849,0.6193,1327.207,1.3299,5.2401,1765.029,0.8237
1409.1,20,37.9,5.846,0.5905,1327.43,1.3159,5.241,1746.739,0.8319
1409.6,20,38.4,5.845,0.5138,1329.618,1.3327,5.2436,1772.022,0.8221
1410.1,20,38.9,5.844,0.5866,1328.484,1.3081,5.2064,1737.727,0.8364
1410.6,20,39.4,5.845,0.4359,1325.998,1.3113,5.2502,1738.77,0.8345
1411.1,20,39.9,5.845,0.5545,1327.504,1.3343,5.2502,1771.264,0.8212
1411.6,20,40.4,5.85,0.6432,1328.036,1.324,5.3629,1758.383,0.8271
1412.1,20,40.9,5.853,0.5145,1327.813,1.3321,5.3156,1768.741,0.8225
